"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"Jeffrey pine","Pinus jeffreyi",6,"20-49 cubic feet/acre/year",116,9.62579857302211,1.07978782434206,4.47056667215151,0.131107607660897,18,12761
"Jeffrey pine","Pinus jeffreyi",7,"0-19 cubic feet/acre/year",116,7.85495357607309,0.504341819581339,2.12819822777395,0.0714052612128053,9,6155
"knobcone pine","Pinus attenuata",3,"120-164 cubic feet/acre/year",103,0.519234867000017,0.00135750292109626,7.00235230241909e-17,1.90302998259228e-06,1,6155
"knobcone pine","Pinus attenuata",4,"85-119 cubic feet/acre/year",103,8.41948108574789,0.141851500438028,13.2522957506552,0.0187008734237698,4,12761
"knobcone pine","Pinus attenuata",5,"50-84 cubic feet/acre/year",103,7.53082475391528,0.1899894684452,9.63257998635324,0.00839392144078761,7,12761
"knobcone pine","Pinus attenuata",6,"20-49 cubic feet/acre/year",103,2.31483652462771,0.0633968415725581,0.218363836297784,0.0013610047675707,6,6444
"knobcone pine","Pinus attenuata",7,"0-19 cubic feet/acre/year",103,6.30388119366016,0.145562949978568,0.197494846642168,0.0118858739195585,2,6155
"lodgepole pine","Pinus contorta",1,"225+ cubic feet/acre/year",108,9.97206061699456,0.943177970227991,3.98536397013559,0.423714725529226,3,9227
"lodgepole pine","Pinus contorta",2,"165-224 cubic feet/acre/year",108,14.3590955221377,2.59049206783422,5.77038374240849,1.43434564762306,13,19947
"lodgepole pine","Pinus contorta",3,"120-164 cubic feet/acre/year",108,8.60790333346857,7.14796267901341,0.871156693899452,2.80956202163807,84,20236
"lodgepole pine","Pinus contorta",4,"85-119 cubic feet/acre/year",108,6.99035219019341,39.9188072038869,0.485853921983775,26.2455054543797,323,20477
"lodgepole pine","Pinus contorta",5,"50-84 cubic feet/acre/year",108,6.99433732933239,73.375456987574,0.0585047738073084,22.1453369033578,785,20477
"lodgepole pine","Pinus contorta",6,"20-49 cubic feet/acre/year",108,6.05327605390582,122.225361091245,0.0693882137985352,42.4811627245901,782,20477
